Range	40.0dB	-107.0dBm
Fixed unit	1	gcs	-06.83282	 107.38730	491.0
Mobile unit	2	drone	-07.14406	 106.54141	1976.0
Latitude	Longitude	Rx(dB)	Best unit
-06.16252	 107.00153	-009.9	1
-06.16252	 107.01315	-001.6	1
-06.16252	 107.02477	-010.9	1
-06.16252	 107.03639	-006.7	1
-06.16252	 107.04800	 018.6	1
-06.16252	 107.05963	 019.8	1
-06.16252	 107.07125	 013.7	1
-06.16252	 107.08286	 019.4	1
-06.16252	 107.09448	 020.1	1
-06.16252	 107.10610	 020.1	1
-06.16252	 107.11772	 019.9	1
-06.16252	 107.12935	 019.7	1
-06.16252	 107.14097	 018.8	1
-06.16252	 107.15259	 018.7	1
-06.16252	 107.16420	 020.0	1
-06.16252	 107.17583	 018.8	1
-06.16252	 107.18745	 019.5	1
-06.16252	 107.19906	 020.1	1
-06.16252	 107.21068	 020.0	1
-06.16252	 107.22231	 020.6	1
-06.16252	 107.23392	 020.5	1
-06.16252	 107.24553	 014.3	1
-06.16252	 107.25716	 007.1	1
-06.16252	 107.26878	 020.7	1
-06.16252	 107.28040	 020.8	1
-06.16252	 107.29202	 020.1	1
-06.16252	 107.30363	 020.0	1
-06.16252	 107.31525	 020.7	1
-06.16252	 107.32687	 019.8	1
-06.16252	 107.33849	 019.5	1
-06.16252	 107.35012	 019.1	1
-06.16252	 107.36174	 020.8	1
-06.16252	 107.37335	 020.8	1
-06.16252	 107.38496	 020.8	1
-06.16252	 107.39658	 020.6	1
-06.16252	 107.40821	 019.5	1
-06.16252	 107.41983	 019.1	1
-06.16252	 107.43145	 019.4	1
-06.16252	 107.44308	 019.4	1
-06.16252	 107.45470	 019.6	1
-06.16252	 107.46631	 020.5	1
-06.16252	 107.47794	 019.2	1
-06.16252	 107.48956	 019.5	1
-06.16252	 107.50117	 020.7	1
-06.16252	 107.51279	 019.9	1
-06.16252	 107.52441	 019.1	1
-06.16252	 107.53602	 019.2	1
-06.16252	 107.54765	 019.0	1
-06.16252	 107.55927	 020.3	1
-06.16252	 107.57089	 020.6	1
-06.16252	 107.58251	 019.8	1
-06.16252	 107.59412	 016.6	1
-06.16252	 107.60576	 015.9	1
-06.16252	 107.61736	 013.9	1
-06.16252	 107.62898	 010.0	1
-06.16252	 107.64061	 009.0	1
-06.16252	 107.65222	-003.7	1
-06.16252	 107.66384	-005.3	1
-06.16252	 107.67547	-003.6	1
-06.16252	 107.68708	-007.0	1
-06.16252	 107.69870	-011.9	1
-06.16252	 107.71033	-014.6	1
-06.16252	 107.72195	-016.2	1
-06.16252	 107.73356	-015.0	1
-06.16252	 107.74518	-015.0	1
-06.16252	 107.75681	-016.5	1
-06.16252	 107.76842	-014.2	1
-06.16252	 107.78004	-014.1	1
-06.16252	 107.79166	-015.2	1
-06.16252	 107.80328	-014.5	1
-06.16252	 107.81490	-015.2	1
-06.16252	 107.82652	-016.7	1
-06.16252	 107.83813	-017.9	1
-06.16252	 107.84975	-018.7	1
-06.16252	 107.86137	-019.5	1
-06.16252	 107.87299	-020.0	1
-06.16252	 107.88461	-020.5	1
-06.16252	 107.89624	-021.5	1
-06.16252	 107.90786	-022.2	1
-06.16252	 107.91947	-022.7	1
-06.16252	 107.93110	-023.3	1
-06.16252	 107.94271	-023.5	1
-06.16252	 107.95432	-024.0	1
-06.16252	 107.96595	-024.7	1
-06.16252	 107.97757	-025.2	1
-06.16252	 107.98918	-026.3	1
-06.16252	 108.00081	-027.3	1
-06.16252	 108.01243	-028.6	1
-06.16252	 108.02405	-029.4	1
-06.16252	 108.03568	-029.3	1
-06.16252	 108.04729	-030.1	1
-06.16252	 108.05891	-030.2	1
-06.16252	 108.07052	-030.2	1
-06.16252	 108.08215	-030.3	1
-06.16252	 108.09377	-030.0	1
-06.16252	 108.10538	-029.4	1
-06.16252	 108.11700	-030.1	1
-06.16252	 108.12863	-030.7	1
-06.16252	 108.14024	-031.5	1
-06.16252	 108.15186	-032.0	1
-06.16252	 108.16348	-032.5	1
-06.16252	 108.17510	-032.9	1
-06.16252	 108.18672	-033.4	1
-06.16252	 108.19835	-033.8	1
-06.16252	 108.20997	-035.0	1
-06.16252	 108.22158	-035.7	1
-06.16252	 108.23320	-036.2	1
-06.16252	 108.24482	-037.3	1
-06.16252	 108.25644	-038.1	1
-06.16252	 108.26806	-038.1	1
-06.16252	 108.27968	-037.9	1
-06.16252	 108.29130	-038.3	1
-06.16252	 108.30292	-038.9	1
-06.16252	 108.31453	-039.2	1
-06.16252	 108.32616	-039.6	1
-06.16252	 108.33778	-040.3	1
-06.16252	 108.34940	-041.1	1
-06.17405	 106.42056	-023.5	1
-06.17405	 106.43217	-022.5	1
-06.17405	 106.44379	-021.1	1
-06.17405	 106.45541	-018.0	1
-06.17405	 106.46703	-018.1	1
-06.17405	 106.47865	-018.1	1
-06.17405	 106.49027	-017.1	1
-06.17405	 106.50189	-017.1	1
-06.17405	 106.51352	-016.0	1
-06.17405	 106.52513	-015.8	1
-06.17405	 106.53674	-017.2	1
-06.17405	 106.54836	-014.3	1
-06.17405	 106.56000	-014.7	1
-06.17405	 106.57161	-016.9	1
-06.17405	 106.58323	-018.0	1
-06.17405	 106.59485	-018.6	1
-06.17405	 106.60646	-018.0	1
-06.17405	 106.61809	-013.7	1
-06.17405	 106.62971	-002.1	1
-06.17405	 106.64133	 011.4	1
-06.17405	 106.65295	 013.7	1
-06.17405	 106.66457	 016.9	1
-06.17405	 106.67619	 017.6	1
-06.17405	 106.68781	 013.5	1
-06.17405	 106.69942	-008.0	1
-06.17405	 106.71105	 000.7	1
-06.17405	 106.72266	 003.0	1
-06.17405	 106.73428	 013.7	1
-06.17405	 106.74590	 017.7	1
-06.17405	 106.75753	 016.8	1
-06.17405	 106.76913	 018.1	1
-06.17405	 106.78075	 018.5	1
-06.17405	 106.79238	 018.3	1
-06.17405	 106.80400	 018.6	1
-06.17405	 106.81561	 018.5	1
-06.17405	 106.82723	 017.4	1
-06.17405	 106.83886	 018.7	1
-06.17405	 106.85048	 018.9	1
-06.17405	 106.86210	-013.8	1
-06.17405	 106.87371	-021.0	1
-06.17405	 106.88533	-019.7	1
-06.17405	 106.89696	-021.8	1
-06.17405	 106.90858	-023.5	1
-06.17405	 106.92019	-025.4	1
-06.17405	 106.93181	-026.1	1
-06.17405	 106.94344	-023.9	1
-06.17405	 106.95506	-021.0	1
-06.17405	 106.96667	-017.1	1
-06.17405	 106.97829	-013.9	1
-06.17405	 106.98991	-017.2	1
-06.17405	 107.00154	-013.0	1
-06.17405	 107.01315	-000.6	1
-06.17405	 107.02477	-004.9	1
-06.17405	 107.03639	-008.4	1
-06.17405	 107.04801	 017.0	1
-06.17405	 107.05962	 020.0	1
-06.17405	 107.07125	 020.1	1
-06.17405	 107.08287	 017.6	1
-06.17405	 107.09449	 019.8	1
-06.17405	 107.10610	 020.3	1
-06.17405	 107.11772	 020.1	1
-06.17405	 107.12935	 019.8	1
-06.17405	 107.14096	 020.2	1
-06.17405	 107.15258	 020.5	1
-06.17405	 107.16420	 020.5	1
-06.17405	 107.17583	 018.9	1
-06.17405	 107.18745	 020.4	1
-06.17405	 107.19907	 020.1	1
-06.17405	 107.21068	 019.9	1
-06.17405	 107.22231	 020.5	1
-06.17405	 107.23392	 020.2	1
-06.17405	 107.24554	 014.6	1
-06.17405	 107.25716	 011.5	1
-06.17405	 107.26878	 020.9	1
-06.17405	 107.28040	 020.5	1
-06.17405	 107.29202	 020.7	1
-06.17405	 107.30363	 019.9	1
-06.17405	 107.31525	 019.3	1
-06.17405	 107.32688	 019.3	1
-06.17405	 107.33850	 020.4	1
-06.17405	 107.35011	 020.0	1
-06.17405	 107.36174	 020.0	1
-06.17405	 107.37336	 020.0	1
-06.17405	 107.38497	 020.1	1
-06.17405	 107.39659	 021.0	1
-06.17405	 107.40821	 019.4	1
-06.17405	 107.41983	 020.0	1
-06.17405	 107.43146	 019.3	1
-06.17405	 107.44307	 020.1	1
-06.17405	 107.45468	 020.2	1
-06.17405	 107.46631	 019.9	1
-06.17405	 107.47793	 020.1	1
-06.17405	 107.48956	 020.2	1
-06.17405	 107.50117	 020.9	1
-06.17405	 107.51279	 020.6	1
-06.17405	 107.52441	 019.4	1
-06.17405	 107.53603	 019.2	1
-06.17405	 107.54765	 019.1	1
-06.17405	 107.55927	 020.1	1
-06.17405	 107.57088	 020.7	1
-06.17405	 107.58251	 019.8	1
-06.17405	 107.59412	 017.4	1
-06.17405	 107.60575	 016.8	1
-06.17405	 107.61736	 014.2	1
-06.17405	 107.62899	 014.3	1
-06.17405	 107.64060	 008.2	1
-06.17405	 107.65223	-003.7	1
-06.17405	 107.66384	-004.4	1
-06.17405	 107.67547	-003.2	1
-06.17405	 107.68709	-008.9	1
-06.17405	 107.69871	-012.9	1
-06.17405	 107.71032	-015.2	1
-06.17405	 107.72194	-015.1	1
-06.17405	 107.73357	-014.3	1
-06.17405	 107.74517	-015.7	1
-06.17405	 107.75681	-014.7	1
-06.17405	 107.76842	-013.1	1
-06.17405	 107.78004	-014.7	1
-06.17405	 107.79166	-014.5	1
-06.17405	 107.80328	-014.0	1
-06.17405	 107.81490	-015.8	1
-06.17405	 107.82652	-017.0	1
-06.17405	 107.83814	-018.1	1
-06.17405	 107.84976	-018.8	1
-06.17405	 107.86137	-019.5	1
-06.17405	 107.87300	-019.7	1
-06.17405	 107.88461	-020.9	1
-06.17405	 107.89622	-021.7	1
-06.17405	 107.90785	-022.2	1
-06.17405	 107.91947	-022.8	1
-06.17405	 107.93110	-023.1	1
-06.17405	 107.94271	-023.5	1
-06.17405	 107.95433	-024.3	1
-06.17405	 107.96596	-024.6	1
-06.17405	 107.97757	-025.7	1
-06.17405	 107.98918	-027.1	1
-06.17405	 108.00082	-028.0	1
-06.17405	 108.01243	-028.9	1
-06.17405	 108.02406	-029.3	1
-06.17405	 108.03567	-029.8	1
-06.17405	 108.04729	-029.9	1
-06.17405	 108.05891	-029.9	1
-06.17405	 108.07052	-030.0	1
-06.17405	 108.08215	-029.6	1
-06.17405	 108.09377	-029.0	1
-06.17405	 108.10538	-029.8	1
-06.17405	 108.11700	-030.5	1
-06.17405	 108.12862	-031.2	1
-06.17405	 108.14024	-031.7	1
-06.17405	 108.15186	-032.1	1
-06.17405	 108.16348	-032.6	1
-06.17405	 108.17511	-033.1	1
-06.17405	 108.18672	-033.6	1
-06.17405	 108.19835	-034.9	1
-06.17405	 108.20996	-035.4	1
-06.17405	 108.22157	-036.2	1
-06.17405	 108.23320	-037.2	1
-06.17405	 108.24482	-037.7	1
-06.17405	 108.25644	-037.7	1
-06.17405	 108.26806	-037.5	1
-06.17405	 108.27968	-038.1	1
-06.17405	 108.29130	-038.6	1
-06.17405	 108.30292	-039.1	1
-06.17405	 108.31453	-039.6	1
-06.17405	 108.32616	-040.4	1
-06.17405	 108.33778	-041.0	1
-06.17405	 108.34940	-041.5	1
-06.18559	 106.40894	-018.3	1
-06.18559	 106.42055	-021.5	1
-06.18559	 106.43217	-023.1	1
-06.18559	 106.44380	-022.5	1
-06.18559	 106.45541	-020.9	1
-06.18559	 106.46703	-018.8	1
-06.18559	 106.47865	-017.2	1
-06.18559	 106.49027	-018.1	1
-06.18559	 106.50189	-016.4	1
-06.18559	 106.51351	-016.7	1
-06.18559	 106.52513	-015.9	1
-06.18559	 106.53675	-015.2	1
-06.18559	 106.54836	-016.3	1
-06.18559	 106.55999	-015.3	1
-06.18559	 106.57160	-013.7	1
-06.18559	 106.58323	-015.9	1
-06.18559	 106.59485	-017.4	1
-06.18559	 106.60646	-018.3	1
-06.18559	 106.61809	-017.9	1
-06.18559	 106.62971	-014.1	1
-06.18559	 106.64132	-001.9	1
-06.18559	 106.65295	 012.9	1
-06.18559	 106.66457	 014.6	1
-06.18559	 106.67619	 017.4	1
-06.18559	 106.68781	 018.0	1
-06.18559	 106.69942	 014.9	1
-06.18559	 106.71104	-001.5	1
-06.18559	 106.72267	 004.9	1
-06.18559	 106.73428	 010.7	1
-06.18559	 106.74590	 015.1	1
-06.18559	 106.75752	 018.3	1
-06.18559	 106.76914	 017.6	1
-06.18559	 106.78075	 018.5	1
-06.18559	 106.79240	 017.0	1
-06.18559	 106.80400	 018.5	1
-06.18559	 106.81562	 018.6	1
-06.18559	 106.82723	 017.7	1
-06.18559	 106.83886	 017.3	1
-06.18559	 106.85048	 018.9	1
-06.18559	 106.86209	 018.1	1
-06.18559	 106.87372	-015.3	1
-06.18559	 106.88533	-020.8	1
-06.18559	 106.89696	-020.1	1
-06.18559	 106.90857	-022.1	1
-06.18559	 106.92019	-024.0	1
-06.18559	 106.93181	-024.9	1
-06.18559	 106.94344	-026.0	1
-06.18559	 106.95506	-022.8	1
-06.18559	 106.96667	-019.6	1
-06.18559	 106.97829	-014.8	1
-06.18559	 106.98991	-015.6	1
-06.18559	 107.00153	-015.0	1
-06.18559	 107.01315	-010.1	1
-06.18559	 107.02477	 013.1	1
-06.18559	 107.03639	-009.6	1
-06.18559	 107.04800	-004.0	1
-06.18559	 107.05962	 019.8	1
-06.18559	 107.07124	 020.2	1
-06.18559	 107.08288	 017.2	1
-06.18559	 107.09449	 019.9	1
-06.18559	 107.10611	 020.4	1
-06.18559	 107.11773	 020.5	1
-06.18559	 107.12935	 018.9	1
-06.18559	 107.14096	 019.6	1
-06.18559	 107.15257	 019.1	1
-06.18559	 107.16421	 019.3	1
-06.18559	 107.17583	 019.0	1
-06.18559	 107.18744	 020.6	1
-06.18559	 107.19906	 019.9	1
-06.18559	 107.21068	 020.2	1
-06.18559	 107.22231	 019.2	1
-06.18559	 107.23392	 019.3	1
-06.18559	 107.24554	 015.0	1
-06.18559	 107.25716	 019.9	1
-06.18559	 107.26878	 020.7	1
-06.18559	 107.28040	 019.8	1
-06.18559	 107.29202	 021.0	1
-06.18559	 107.30364	 019.5	1
-06.18559	 107.31526	 020.9	1
-06.18559	 107.32688	 020.4	1
-06.18559	 107.33849	 021.1	1
-06.18559	 107.35011	 021.1	1
-06.18559	 107.36174	 019.4	1
-06.18559	 107.37335	 019.5	1
-06.18559	 107.38498	 019.4	1
-06.18559	 107.39660	 020.3	1
-06.18559	 107.40822	 020.7	1
-06.18559	 107.41984	 021.0	1
-06.18559	 107.43144	 019.5	1
-06.18559	 107.44307	 020.6	1
-06.18559	 107.45469	 019.6	1
-06.18559	 107.46631	 019.4	1
-06.18559	 107.47793	 021.1	1
-06.18559	 107.48955	 021.0	1
-06.18559	 107.50117	 020.9	1
-06.18559	 107.51279	 021.0	1
-06.18559	 107.52442	 020.0	1
-06.18559	 107.53603	 020.2	1
-06.18559	 107.54765	 019.2	1
-06.18559	 107.55927	 020.0	1
-06.18559	 107.57088	 020.9	1
-06.18559	 107.58250	 019.5	1
-06.18559	 107.59413	 018.0	1
-06.18559	 107.60575	 016.8	1
-06.18559	 107.61736	 014.7	1
-06.18559	 107.62898	 015.0	1
-06.18559	 107.64060	 003.4	1
-06.18559	 107.65222	-002.5	1
-06.18559	 107.66384	-000.7	1
-06.18559	 107.67547	-004.0	1
-06.18559	 107.68709	-010.5	1
-06.18559	 107.69870	-013.4	1
-06.18559	 107.71033	-015.2	1
-06.18559	 107.72195	-014.1	1
-06.18559	 107.73356	-013.9	1
-06.18559	 107.74518	-015.5	1
-06.18559	 107.75680	-013.1	1
-06.18559	 107.76842	-013.6	1
-06.18559	 107.78004	-014.2	1
-06.18559	 107.79166	-013.6	1
-06.18559	 107.80328	-014.6	1
-06.18559	 107.81490	-016.1	1
-06.18559	 107.82652	-017.3	1
-06.18559	 107.83813	-018.1	1
-06.18559	 107.84975	-018.9	1
-06.18559	 107.86137	-019.3	1
-06.18559	 107.87299	-020.3	1
-06.18559	 107.88462	-021.3	1
-06.18559	 107.89623	-021.7	1
-06.18559	 107.90784	-022.3	1
-06.18559	 107.91947	-022.7	1
-06.18559	 107.93109	-023.1	1
-06.18559	 107.94271	-023.9	1
-06.18559	 107.95433	-024.2	1
-06.18559	 107.96596	-025.2	1
-06.18559	 107.97757	-026.5	1
-06.18559	 107.98919	-027.6	1
-06.18559	 108.00082	-028.6	1
-06.18559	 108.01243	-028.8	1
-06.18559	 108.02405	-029.5	1
-06.18559	 108.03567	-029.5	1
-06.18559	 108.04729	-029.5	1
-06.18559	 108.05891	-029.6	1
-06.18559	 108.07052	-029.1	1
-06.18559	 108.08215	-028.7	1
-06.18559	 108.09377	-029.5	1
-06.18559	 108.10538	-030.1	1
-06.18559	 108.11700	-030.8	1
-06.18559	 108.12862	-031.2	1
-06.18559	 108.14024	-031.7	1
-06.18559	 108.15186	-032.3	1
-06.18559	 108.16348	-032.8	1
-06.18559	 108.17511	-033.6	1
-06.18559	 108.18671	-034.5	1
-06.18559	 108.19834	-035.1	1
-06.18559	 108.20996	-036.1	1
-06.18559	 108.22158	-037.1	1
-06.18559	 108.23320	-037.4	1
-06.18559	 108.24482	-037.3	1
-06.18559	 108.25644	-037.3	1
-06.18559	 108.26806	-037.7	1
-06.18559	 108.27967	-038.3	1
-06.18559	 108.29130	-038.9	1
-06.18559	 108.30292	-039.5	1
-06.18559	 108.31453	-040.2	1
-06.18559	 108.32616	-041.1	1
-06.18559	 108.33778	-041.6	1
-06.18559	 108.34939	-042.1	1
-06.18559	 108.36101	-042.5	1
-06.19713	 106.39732	-018.1	1
-06.19713	 106.40894	-016.0	1
-06.19713	 106.42056	-016.6	1
-06.19713	 106.43217	-019.7	1
-06.19713	 106.44379	-022.1	1
-06.19713	 106.45541	-022.2	1
-06.19713	 106.46703	-021.2	1
-06.19713	 106.47865	-019.9	1
-06.19713	 106.49027	-016.7	1
-06.19713	 106.50189	-017.6	1
-06.19713	 106.51351	-016.4	1
-06.19713	 106.52513	-016.0	1
-06.19713	 106.53675	-015.9	1
-06.19713	 106.54836	-014.2	1
-06.19713	 106.56000	-015.3	1
-06.19713	 106.57160	-015.0	1
-06.19713	 106.58323	-012.5	1
-06.19713	 106.59485	-015.2	1
-06.19713	 106.60646	-016.9	1
-06.19713	 106.61809	-017.8	1
-06.19713	 106.62971	-017.8	1
-06.19713	 106.64133	-014.5	1
-06.19713	 106.65294	-002.0	1
-06.19713	 106.66457	 013.9	1
-06.19713	 106.67618	 014.8	1
-06.19713	 106.68781	 017.8	1
-06.19713	 106.69942	 018.0	1
-06.19713	 106.71104	 016.4	1
-06.19713	 106.72266	 001.8	1
-06.19713	 106.73428	 011.3	1
-06.19713	 106.74590	 012.3	1
-06.19713	 106.75752	 016.7	1
-06.19713	 106.76913	 018.5	1
-06.19713	 106.78075	 018.3	1
-06.19713	 106.79238	 018.5	1
-06.19713	 106.80400	 018.7	1
-06.19713	 106.81562	 018.8	1
-06.19713	 106.82724	 018.8	1
-06.19713	 106.83886	 017.5	1
-06.19713	 106.85048	 017.4	1
-06.19713	 106.86209	 019.0	1
-06.19713	 106.87372	 014.1	1
-06.19713	 106.88534	-016.7	1
-06.19713	 106.89696	-020.3	1
-06.19713	 106.90858	-020.0	1
-06.19713	 106.92019	-022.4	1
-06.19713	 106.93181	-024.6	1
-06.19713	 106.94344	-024.1	1
-06.19713	 106.95506	-024.6	1
-06.19713	 106.96667	-021.7	1
-06.19713	 106.97829	-017.1	1
-06.19713	 106.98991	-012.6	1
-06.19713	 107.00153	-015.5	1
-06.19713	 107.01315	-012.0	1
-06.19713	 107.02477	 005.9	1
-06.19713	 107.03639	 003.9	1
-06.19713	 107.04800	-007.6	1
-06.19713	 107.05962	 019.4	1
-06.19713	 107.07124	 020.0	1
-06.19713	 107.08287	 020.1	1
-06.19713	 107.09449	 020.3	1
-06.19713	 107.10610	 019.8	1
-06.19713	 107.11773	 020.5	1
-06.19713	 107.12935	 020.4	1
-06.19713	 107.14097	 020.2	1
-06.19713	 107.15257	 020.2	1
-06.19713	 107.16421	 020.3	1
-06.19713	 107.17583	 020.8	1
-06.19713	 107.18744	 020.8	1
-06.19713	 107.19907	 019.4	1
-06.19713	 107.21068	 019.7	1
-06.19713	 107.22231	 021.1	1
-06.19713	 107.23392	 021.0	1
-06.19713	 107.24554	 016.0	1
-06.19713	 107.25716	 019.9	1
-06.19713	 107.26878	 020.1	1
-06.19713	 107.28040	 020.7	1
-06.19713	 107.29202	 021.2	1
-06.19713	 107.30363	 019.6	1
-06.19713	 107.31526	 020.0	1
-06.19713	 107.32688	 021.3	1
-06.19713	 107.33849	 021.1	1
-06.19713	 107.35012	 021.0	1
-06.19713	 107.36173	 020.2	1
-06.19713	 107.37335	 020.8	1
-06.19713	 107.38498	 020.3	1
-06.19713	 107.39659	 019.6	1
-06.19713	 107.40823	 021.3	1
-06.19713	 107.41983	 021.1	1
-06.19713	 107.43145	 020.1	1
-06.19713	 107.44308	 021.0	1
-06.19713	 107.45469	 019.6	1
-06.19713	 107.46632	 019.8	1
-06.19713	 107.47794	 020.7	1
-06.19713	 107.48956	 021.0	1
-06.19713	 107.50117	 021.2	1
-06.19713	 107.51279	 021.1	1
-06.19713	 107.52441	 020.6	1
-06.19713	 107.53602	 021.1	1
-06.19713	 107.54765	 019.3	1
-06.19713	 107.55927	 020.1	1
-06.19713	 107.57088	 021.0	1
-06.19713	 107.58250	 019.1	1
-06.19713	 107.59412	 018.8	1
-06.19713	 107.60575	 016.8	1
-06.19713	 107.61736	 015.4	1
-06.19713	 107.62898	 015.1	1
-06.19713	 107.64061	 000.1	1
-06.19713	 107.65221	-000.2	1
-06.19713	 107.66384	 000.5	1
-06.19713	 107.67547	-005.5	1
-06.19713	 107.68708	-011.6	1
-06.19713	 107.69871	-014.3	1
-06.19713	 107.71032	-014.4	1
-06.19713	 107.72194	-013.5	1
-06.19713	 107.73356	-015.0	1
-06.19713	 107.74518	-013.7	1
-06.19713	 107.75681	-012.0	1
-06.19713	 107.76842	-014.1	1
-06.19713	 107.78004	-013.5	1
-06.19713	 107.79166	-013.6	1
-06.19713	 107.80328	-015.2	1
-06.19713	 107.81490	-016.5	1
-06.19713	 107.82652	-017.7	1
-06.19713	 107.83813	-018.4	1
-06.19713	 107.84975	-018.8	1
-06.19713	 107.86137	-019.5	1
-06.19713	 107.87300	-020.8	1
-06.19713	 107.88461	-021.2	1
-06.19713	 107.89623	-021.9	1
-06.19713	 107.90785	-022.3	1
-06.19713	 107.91947	-022.6	1
-06.19713	 107.93109	-023.3	1
-06.19713	 107.94271	-023.8	1
-06.19713	 107.95432	-024.4	1
-06.19713	 107.96595	-026.0	1
-06.19713	 107.97757	-027.2	1
-06.19713	 107.98919	-028.1	1
-06.19713	 108.00081	-028.3	1
-06.19713	 108.01243	-029.3	1
-06.19713	 108.02405	-029.0	1
-06.19713	 108.03567	-029.2	1
-06.19713	 108.04729	-029.2	1
-06.19713	 108.05891	-028.5	1
-06.19713	 108.07052	-028.3	1
-06.19713	 108.08215	-029.0	1
-06.19713	 108.09377	-029.9	1
-06.19713	 108.10538	-030.6	1
-06.19713	 108.11700	-030.9	1
-06.19713	 108.12862	-031.4	1
-06.19713	 108.14024	-032.0	1
-06.19713	 108.15186	-032.5	1
-06.19713	 108.16349	-033.3	1
-06.19713	 108.17510	-034.3	1
-06.19713	 108.18671	-034.9	1
-06.19713	 108.19834	-035.9	1
-06.19713	 108.20996	-036.9	1
-06.19713	 108.22158	-037.1	1
-06.19713	 108.23320	-036.8	1
-06.19713	 108.24482	-037.2	1
-06.19713	 108.25644	-037.8	1
-06.19713	 108.26806	-038.1	1
-06.19713	 108.27968	-038.8	1
-06.19713	 108.29131	-039.4	1
-06.19713	 108.30292	-040.2	1
-06.19713	 108.31453	-041.0	1
-06.19713	 108.32616	-041.5	1
-06.19713	 108.33778	-042.0	1
-06.19713	 108.34939	-043.3	1
-06.19713	 108.36101	-043.4	1
-06.19713	 108.37264	-044.5	1
-06.20866	 106.39732	-022.6	1
-06.20866	 106.40894	-017.8	1
-06.20866	 106.42056	-016.7	1
-06.20867	 106.43217	-015.3	1
-06.20867	 106.44380	-017.3	1
-06.20867	 106.45541	-021.4	1
-06.20867	 106.46703	-022.3	1
-06.20867	 106.47865	-021.5	1
-06.20867	 106.49027	-019.5	1
-06.20866	 106.50189	-017.1	1
-06.20866	 106.51352	-016.0	1
-06.20866	 106.52513	-016.7	1
-06.20866	 106.53675	-015.2	1
-06.20866	 106.54836	-015.4	1
-06.20866	 106.55999	-014.2	1
-06.20866	 106.57160	-014.4	1
-06.20867	 106.58323	-015.5	1
-06.20866	 106.59484	-009.9	1
-06.20867	 106.60646	-014.2	1
-06.20866	 106.61809	-016.0	1
-06.20867	 106.62971	-016.9	1
-06.20866	 106.64133	-017.4	1
-06.20867	 106.65294	-014.9	1
-06.20866	 106.66457	-003.6	1
-06.20867	 106.67619	 014.9	1
-06.20866	 106.68781	 015.1	1
-06.20866	 106.69942	 018.1	1
-06.20866	 106.71105	 017.9	1
-06.20867	 106.72267	 017.4	1
-06.20866	 106.73428	 009.3	1
-06.20866	 106.74591	 012.7	1
-06.20866	 106.75753	 014.0	1
-06.20866	 106.76914	 017.7	1
-06.20867	 106.78076	 017.8	1
-06.20866	 106.79239	 018.8	1
-06.20867	 106.80400	 018.3	1
-06.20866	 106.81562	 018.7	1
-06.20867	 106.82723	 019.0	1
-06.20866	 106.83885	 018.9	1
-06.20867	 106.85047	 019.0	1
-06.20866	 106.86209	 018.0	1
-06.20866	 106.87371	 017.7	1
-06.20866	 106.88532	 000.8	1
-06.20867	 106.89696	-017.8	1
-06.20866	 106.90857	-018.9	1
-06.20866	 106.92019	-019.7	1
-06.20866	 106.93182	-022.1	1
-06.20866	 106.94344	-024.7	1
-06.20866	 106.95506	-025.0	1
-06.20866	 106.96667	-023.8	1
-06.20867	 106.97829	-019.8	1
-06.20866	 106.98991	-014.6	1
